LabID,x,y,om,ph,p_bray,k,tn
51,-61.5128194444444,-37.3764611111111,4.02733018205836,6.5,20.4,852.1698743320799,-1.512803259298608
60,-57.84725,-37.8513611111111,5.53223820187443,6.05,10.524407252440724,769.5543527036122,-1.436532786456566
64,-58.8762,-38.54,4.848146280702502,6.3,15.869158878504674,992.4107142857144,-1.4712033534335303
67,-60.3039444444444,-38.453,3.1313800243605145,6.3,20.847619047619048,740.2374935233845,-1.5582110458680947
68,-60.3977222222222,-38.515666666666704,2.9165539876164903,6.16,13.544951590594742,724.7729219316707,-1.569098676996043
69,-60.4144166666667,-38.5291388888889,2.1494334744861368,6.65,46.17270194986072,699.0304852758193,-1.607977228703431
74,-60.0055555555556,-38.765,4.123305432211478,6.27,20.942857142857143,518.5786340421482,-1.5079391230099288
75,-60.1075,-38.7647222222222,4.2413424842017715,5.84,26.82377049180328,450.1710908336791,-1.501956869178043
77,-60.1713888888889,-38.7927777777778,3.350298949418777,6.57,22.561904761904763,858.7992090598598,-1.5471159824433507
78,-60.0311111111111,-38.7461111111111,3.5293785517496667,6.49,20.08571428571429,662.9146355648138,-1.5380400218090182
79,-60.0275,-38.7488888888889,3.01384830894005,6.41,12.092669432918395,482.4946336614819,-1.564167688660224
82,-60.4530833333333,-38.5713888888889,2.5730375530976053,6.31,12.575136612021858,920.6574954267164,-1.5865084857981584
84,-60.3864444444444,-38.5725277777778,3.0258989137800025,6.53,7.191780821917809,712.2777310508608,-1.563556950118683
85,-60.3636666666667,-38.6018333333333,2.9025587752421496,6.53,7.191780821917809,930.8728448275866,-1.5698079704885757
86,-60.4805555555556,-38.6013888888889,2.6415205861828097,6.19,13.627450980392156,559.8174916200527,-1.5830376867551017
115,-60.5380277777778,-37.1999166666667,5.06473791170285,6.56,4.424076607387141,521.2972689075632,-1.4602262399538344
124,-58.3980277777778,-37.6855555555556,4.514287247710223,6.18,13.813084112149536,449.60609243697473,-1.488123713996178
125,-58.4503333333333,-37.9201111111111,4.068898845179987,6.17,29.23364485981308,557.1428571428571,-1.5106965115439608
126,-58.2519444444444,-38.0359444444444,5.641057932171937,6.5,9.794392523364486,471.08438056600033,-1.4310176771109802
127,-58.5568333333333,-37.6858888888889,5.336928831093289,5.94,14.373831775700936,582.6098059244126,-1.446431290460671
128,-59.8451666666667,-37.5996111111111,3.4806482345103316,5.96,15.364902506963787,709.3996267109084,-1.5405097304481157
129,-59.8878611111111,-37.6647777777778,4.633340169571536,5.95,15.323809523809524,487.64949085872,-1.4820899747084448
130,-59.8248055555556,-37.67625,4.928406991157747,6.67,38.371428571428574,492.8043480559579,-1.4671356481276552
131,-59.68775,-37.8689444444444,4.14887778257383,6.22,5.605809128630705,492.8043480559579,-1.5066430868215794
148,-61.1730555555556,-38.4100277777778,3.9685383981882048,6.18,12.971962616822433,790.6820622986037,-1.5157828946623373
149,-61.3985833333333,-38.4673888888889,3.962602896325653,6.8,12.317757009345796,669.8004201680671,-1.516083712737363
150,-61.0098888888889,-38.43,2.495180605438674,6.3,19.26478873239437,1102.2691273390308,-1.5904543656351935
151,-61.1863888888889,-38.5445277777778,3.7172854181780615,6.78,15.32112676056338,893.7044799380674,-1.5285166852568535
152,-61.0402222222222,-38.3117777777778,4.18286103887999,6.4,7.5514018691588785,733.0827067669176,-1.5049207762264774
169,-58.5793888888889,-37.8440555555556,5.457675529051231,5.95,19.98130841121495,444.1295255557605,-1.4403117086482935
170,-58.6760277777778,-37.9168333333333,5.403020741293849,6.09,17.457943925233646,552.7323799795711,-1.4430816762811636
171,-58.7423333333333,-38.1996666666667,3.5309674229680565,6.21,22.411214953271028,613.4716386554624,-1.5379594959845053
172,-58.6738888888889,-37.9845555555556,5.105799614129441,6.05,5.962616822429906,652.32379979571,-1.4581451855514806
173,-58.7414833333333,-38.0017666666667,3.371183580597122,6.36,6.423988842398884,791.43005384788,-1.5460575252658157
174,-58.8196388888889,-38.1353333333333,4.313442021722669,6.37,9.514018691588786,746.0448001187415,-1.4983027815221852
176,-58.9304444444444,-38.3371277777778,4.801793627022756,5.98,13.626168224299068,670.2470461868961,-1.4735525593431842
177,-58.6331111111111,-38.3640555555556,4.920258347978895,6.67,33.53271028037383,1007.534983853606,-1.4675486307552235
178,-58.7256111111111,-38.5254444444444,4.411819037397808,6,14,523.6305048335125,-1.4933169209888293
213,-58.9397222222222,-37.4496666666667,4.324982299434546,6.01,10.925414364640885,216.86540854417257,-1.497717906947644
214,-58.9434722222222,-37.4506666666667,4.737896949711462,6.41,7.967168262653899,230.3974221267454,-1.4767909165898707
215,-59.2148055555556,-37.3503333333333,5.5618464874241305,5.81,13.148907103825136,428.262278807868,-1.4350322044215298
216,-58.9848611111111,-37.3463055555556,4.154778664254003,5.9,11.698895027624308,543.4933637494815,-1.5063440233372962
217,-59.358944444444504,-37.1104166666667,4.049431442056009,6.35,11.892265193370164,631.6310659477397,-1.5116831419703531
218,-59.4040833333333,-37.2755833333333,4.780083333333332,7.46,27.585464333781957,625.5499332796853,-1.4746528620483519
219,-59.214,-37.2913055555556,4.377621103215997,6.01,26.927496580027363,351.5877287405812,-1.4950501117060842
220,-58.9464722222222,-37.6057777777778,4.3277311606867634,6.55,22.14088397790055,750.8761924512651,-1.497578591491335
228,-59.83630556,-38.44405556,3.290980092816204,6.49,15.8,668.862927963586,-1.550122330460607
229,-60.1816944444444,-38.4007222222222,2.9832488464073954,6.59,16.782786885245905,610.9765238472195,-1.565718504687082
455,-58.29905,-37.7546166666667,3.981477987680516,5.75,30.23842917251052,481.7400644468313,-1.5151271013540653
457,-59.8953166666667,-38.4251694444444,3.7932179037779754,5.98,7.602459016393443,1011.3574856520876,-1.5246683393749005
514,-59.8396194444444,-37.6137388888889,4.671620341566893,6.09,11.408839779005524,527.9396515968479,-1.4801498914740439
516,-60.3477611111111,-37.5427194444444,4.339417602803271,6.19,7.975409836065574,729.7399670178257,-1.4969863091363138
519,-61.7175833333333,-38.45,2.5872615012106452,6.71,8.859813084112151,837.8088077336198,-1.5857875997147717
537,-59.48345,-37.9448388888889,4.915979920338338,6.38,11.56267409470752,794.4178564568795,-1.46776546639891
541,-60.3920805555556,-37.9798388888889,3.742122835876124,6.63,9.419398907103824,398.32538365823314,-1.5272578963029357
543,-61.3675,-38.5663333333333,2.527365658672225,6.19,12.856338028169016,691.1922663802364,-1.58882319004423
544,-61.5538055555556,-38.7795833333333,1.44668281474583,6.34,15.616901408450708,709.9689572276944,-1.6435934420551288
545,-61.2444722222222,-38.7229166666667,2.5700779274100816,7.07,13.34929577464789,652.1090642662759,-1.5866584830389534
