ProfID,x,y,ph_0_30,k_0_30,soc_0_30,bd_0_30,cec_0_30,p_0_30,n_0_30,clay_0_30,sand_0_30,silt_0_30
51,-60.351883,-38.806003,6.5,601.0241602582187,2.4340287079366782,1.2565177873000135,19.213438848154585,NA,NA,22.969477649999998,46,31.030522350000002
154,-58.674303,-38.207964,6.02949874576836,818.8998814052607,3.0469684559765864,1.1759206775008257,24.837390846307077,NA,NA,25.9787917,41,33.0212083
197,-60.459175,-38.362847,5.954871789668641,961.1102930199046,2.908511970071876,1.1887765115148998,24.18694611861656,NA,NA,25.10539197,40,34.89460803
262,-58.866944,-38.421944,6.634143903892821,855.4509916338936,1.6598303635609328,1.3845886615100564,18.235637135587336,NA,NA,21.30443052,48,30.69556948
2702,-58.022222,-37.821667,7.097969385546953,861.47976863044,3.7551108093923298,1.0877699053950436,28.333777946339108,NA,NA,25.97128953,43,31.02871047
2706,-57.918611,-37.954444,6.00794774471,885.9389639893068,3.4840976145023848,1.1186464984932027,23.03939430559987,NA,NA,26.50761832,40,33.49238168
2709,-60.472222,-36.677778000000004,10.016187148698394,1151.9959466447979,0.8635557102090204,1.5516537681458342,NA,NA,NA,32.39214485,31,36.60785515
2710,-60.228559,-36.691154,7.400014331344108,565.1210262281987,2.9203372463174326,1.2084068998556237,26.789118930050538,NA,NA,27.430105200000003,24,48.5698948
2711,-60.450759,-36.843936,6.849264344048907,958.6351868904108,2.454319234049518,1.2580173009423612,19.74458627235401,NA,NA,23.467453080000002,54,22.532546919999998
2712,-60.426314,-36.944677,6.49920352674175,731.0605897737552,3.5216707588971334,1.1204488491718754,29.975299884333666,NA,NA,29.34165153,31,39.65834847
2714,-59.27717,-36.95655,5.860623695398385,1009.7265148762352,3.414522986661419,1.1302567553309173,22.650792824841727,NA,NA,26.23425974,46,27.76574026
2716,-61.126443,-37.170563,6.295524271061834,864.9317976721263,2.323523142383458,1.2882974194161911,23.35947403757281,NA,NA,29.52268085,23,47.47731915
2718,-60.40875,-37.09873,8.621078351841744,668.8486517942958,2.196487338936954,1.3201408502123553,40.319399720326345,NA,NA,36.13655581,22,41.86344419
2720,-60.317482,-37.180943,6.5460309712608105,980.2655236927868,3.390295485884516,1.1678397191308898,23.93527287266298,NA,NA,26.775252419999997,31,42.22474758
2721,-59.475147,-37.283576,6.914425674406614,827.4675252474416,3.5741608433694143,1.115256951155032,28.124480048067813,NA,NA,30.11552143,32,37.88447857
2723,-60.817359,-37.581966,6.692934385301015,1135.0418743088278,2.193287357957741,1.2915941877984782,24.243543497020447,NA,NA,24.64421624,40,35.35578376
2725,-61.466667,-38.033333,7.5,1016.4959999999999,2.55,1.2369674348036523,26.3,NA,NA,25.45546798,43,31.544532020000002
2726,-58.517943,-38.006483,5.920008074475159,428.9362656027358,3.162262990405624,1.1623853023319026,35.22000807447515,NA,NA,30.91537367,38,31.08462633
2761,-58.2625,-37.808333,7.42068633056687,531.7635135768463,1.513210787811288,1.435348761685359,14.201333610728856,NA,NA,20.95334442,39,40.04665558
2762,-58.159944,-37.892539,6.553446856541646,671.3970349308709,2.735717426964285,1.2240244305265306,17.674582581444543,NA,NA,22.42753694,47,30.57246306
2764,-61.090163,-37.183748,6.430830575988687,979.3902093535693,2.2901907145192006,1.2822062054926644,19.747174092707223,NA,NA,23.38378479,44,32.61621521
2768,-60.955252,-37.365404,6.6525486858148914,596.1833747416235,2.3581406952349147,1.2706138684883708,16.50777846077586,NA,NA,20.71928919,50,29.28071081
2769,-60.802663,-37.456248,9.758133641766836,677.2755790057366,0.7655035704402834,1.569571541700212,26.35585881216153,NA,NA,21.85770183,36,42.14229817
2770,-60.574877,-37.374822,8.103826067489317,523.6241867808701,1.3970622502005237,1.461479706066623,20.79967975619236,NA,NA,20.16377822,35,44.83622178
2771,-60.723174,-37.361479,9.80205863179625,834.0279843887977,0.6625413890928694,1.5933035170288363,23.447068004454593,NA,NA,16.49744389,37,46.50255611
2772,-60.874338,-37.540616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2773,-60.872671,-37.540161,8.563579585672295,1041.199373219044,1.3222479362714106,1.47208452995753,29.930415661663506,NA,NA,23.373949279999998,36,40.62605072
2774,-60.698317,-37.470591,9.36464919784633,710.6169061453843,0.7678752003625956,1.569608635922925,21.54706280217396,NA,NA,23.16561713,36,40.83438287
2775,-59.273193,-37.46736,6.8676416329324494,239.43422876366697,3.1964140691920626,1.158102798510072,24.89110071488646,NA,NA,32.74451796,32,35.25548204
2796,-58.367518,-38.274466,9.222312803380277,836.6840368093898,0.9954686513861949,1.5232306593022205,31.333861037479473,NA,NA,29.2687741,39,31.7312259
2797,-58.163923,-38.345466,6.34260448278463,704.8804647284965,2.380078810662518,1.2891310203507362,23.86708510682066,NA,NA,33.56255555,32,34.43744445
2798,-61.156389,-38.320833,6.830808503515234,550.8654104452628,2.320327669902913,1.274193614335248,33.631730554625605,NA,NA,33.76851383,34,32.23148617
2799,-60.761747,-38.243832,7.94719254727922,688.761868720804,1.4307925864217386,1.4330334931661328,24.64198162228654,NA,NA,28.75833859,34,37.24166141
2800,-60.244313,-38.027927,6.966211799313615,777.3884036607286,2.294810835103775,1.2906941612621579,21.146968458898513,NA,NA,30.14729415,41,28.85270585
2801,-60.268303,-38.247338,5.5859054380902995,626.7360815604538,1.6332421607953294,1.3908648885793282,20.64349617656538,NA,NA,20.95481531,38,41.04518469
2802,-58.661675,-38.143606,5.961253268365647,1207.9225017208757,3.0102782416134084,1.1753967296558077,25.66997247907055,NA,NA,28.13745894,37,34.86254106
2803,-58.968039,-38.260668,5.822659930132461,1062.1000613891315,3.697844612677355,1.0876113376259697,30.55884573763258,NA,NA,29.073691020000002,34,36.92630898
2804,-58.597607000000004,-38.319632,7.45480456918797,856.4171087871229,1.543359833384706,1.4136592078623273,28.591307216243464,NA,NA,31.29365893,38,30.70634107
2805,-58.630134,-38.303778,6.3269144813771065,878.7126286018022,2.4544940889724733,1.265020813394296,24.981264617833183,NA,NA,27.47229605,43,29.52770395
2806,-61.215505,-38.414291,6.599917862570541,388.1684934459239,2.490936533350826,1.24534217175793,28.27326635118811,NA,NA,36.79221804,24,39.20778196
2807,-61.13691,-38.449819,6.512902930482256,685.6430848293619,1.9625344096698116,1.3320904993424867,25.461405070089462,NA,NA,32.0717317,32,35.9282683
2808,-60.674808,-38.450559,7.3556008452137185,500.0364751942206,1.7006191244900304,1.3746652382156825,23.00382584045171,NA,NA,34.58280344,33,32.41719656
2809,-60.471029,-38.343757,6.426599149493021,538.2949407593809,2.0705127552250353,1.3133902486153402,20.300015353904392,NA,NA,29.46633693,45,25.53366307
2810,-60.117623,-38.411625,5.591279171700423,980.9357436130125,3.651206912226756,1.095903958514928,32.475707749401174,NA,NA,29.00579141,31,39.99420859
2811,-59.948454,-38.345423,5.518254784604349,1037.122089359975,1.5647920946869618,1.4000323210936731,18.308489816673426,NA,NA,-0.41367256,65,35.413672559999995
2812,-59.705792,-38.351409,9.004552306565856,927.2432206900854,0.5696494581423246,1.6182956649824065,29.111478625620695,NA,NA,33.6831224,31,35.3168776
2813,-59.526488,-38.479162,5.8865943656040045,462.3312688400294,1.5800390893225118,1.3971558466360903,15.568232475493886,NA,NA,20.72522363,51,28.27477637
2814,-59.521259,-38.449042,6.027978296353286,1010.4852522855189,1.0724775172172638,1.5003235942760198,13.44301713194921,NA,NA,17.913318949999997,69,13.086681050000001
2815,-59.482203,-38.430059,5.974760345915858,960.0385311632892,1.3638681080387702,1.4457899309947846,21.852326303688493,NA,NA,25.712860869999997,49,25.28713913
