ProfID,x,y,ph_0_30,k_0_30,soc_0_30,clay_0_30,bd_0_30,cec_0_30
154,-58.674303,-38.207964,6.02949874576836,2.09458737826187,3.0469684559765864,24.37020821685022,1.1759206775008257,24.837390846307077
197,-60.459175,-38.362847,5.954871789668641,2.458334082821528,2.908511970071876,27.26815353909343,1.1887765115148998,24.18694611861656
262,-58.866944,-38.421944,6.634143903892821,2.188078042853217,1.6598303635609328,20.788356792484908,1.3845886615100564,18.235637135587336
2702,-58.022222,-37.821667,7.097969385546953,2.20349848739114,3.7551108093923298,26.20037470559556,1.0877699053950436,28.333777946339108
2706,-57.918611,-37.954444,6.00794774471,2.2660603744355097,3.4840976145023848,22.763821118115864,1.1186464984932027,23.03939430559987
2709,-60.472222,-36.677778000000004,10.016187148698394,2.9465826341436414,0.8635557102090204,36.09176186484662,1.5516537681458342,NA
2710,-60.228559,-36.691154,7.400014331344108,1.445470191907609,2.9203372463174326,28.222698201017877,1.2084068998556237,26.789118930050538
2711,-60.450759,-36.843936,6.849264344048907,2.452003240460433,2.454319234049518,19.051537033649453,1.2580173009423612,19.74458627235401
2712,-60.426314,-36.944677,6.49920352674175,1.869911473740933,3.5216707588971334,34.41779909750652,1.1204488491718754,29.975299884333666
2714,-59.27717,-36.95655,5.860623695398385,2.582684967455073,3.414522986661419,24.382883103764318,1.1302567553309173,22.650792824841727
2716,-61.126443,-37.170563,6.295524271061834,2.212328109453976,2.323523142383458,30.775491052921137,1.2882974194161911,23.35947403757281
2718,-60.40875,-37.09873,8.621078351841744,1.7107853790523222,2.196487338936954,38.96919274968889,1.3201408502123553,40.319399720326345
2720,-60.317482,-37.180943,6.5460309712608105,2.507329454913001,3.390295485884516,27.47762420640379,1.1678397191308898,23.93527287266298
2721,-59.475147,-37.283576,6.914425674406614,2.116501752730309,3.5741608433694143,30.822897129728702,1.115256951155032,28.124480048067813
2723,-60.817359,-37.581966,6.692934385301015,2.9032173989892263,2.193287357957741,25.131389838046537,1.2915941877984782,24.243543497020447
2725,-61.466667,-38.033333,7.5,2.6,2.55,29.6,1.2369674348036523,26.3
2726,-58.517943,-38.006483,5.920008074475159,1.0971359361641493,3.162262990405624,32.60298518096323,1.1623853023319026,35.22000807447515
2761,-58.2625,-37.808333,7.42068633056687,1.3601481317189645,1.513210787811288,15.484528155359655,1.435348761685359,14.201333610728856
2762,-58.159944,-37.892539,6.553446856541646,1.71730364981295,2.735717426964285,21.322174160005368,1.2240244305265306,17.674582581444543
2764,-61.090163,-37.183748,6.430830575988687,2.5050905702720723,2.2901907145192006,24.450090853126856,1.2822062054926644,19.747174092707223
2768,-60.955252,-37.365404,6.6525486858148914,1.524921666517351,2.3581406952349147,19.440129901752062,1.2706138684883708,16.50777846077586
2769,-60.802663,-37.456248,9.758133641766836,1.7323398276185202,0.7655035704402834,27.052981201602037,1.569571541700212,26.35585881216153
2770,-60.574877,-37.374822,8.103826067489317,1.3393293093433347,1.3970622502005237,23.56352319487442,1.461479706066623,20.79967975619236
2771,-60.723174,-37.361479,9.80205863179625,2.1332821372743958,0.6625413890928694,21.25698191364188,1.5933035170288363,23.447068004454593
2772,-60.874338,-37.540616,NA,NA,NA,NA,NA,NA
2773,-60.872671,-37.540161,8.563579585672295,2.6631864467440254,1.3222479362714106,31.56597269859714,1.47208452995753,29.930415661663506
2774,-60.698317,-37.470591,9.36464919784633,1.817620488401331,0.7678752003625956,29.367501968940388,1.569608635922925,21.54706280217396
2775,-59.273193,-37.46736,6.8676416329324494,0.6124264087468462,3.1964140691920626,32.253826745164005,1.158102798510072,24.89110071488646
2796,-58.367518,-38.274466,9.222312803380277,2.14007580522148,0.9954686513861949,36.47588329949861,1.5232306593022205,31.333861037479473
2797,-58.163923,-38.345466,6.34260448278463,1.802947781687376,2.380078810662518,29.29055071070792,1.2891310203507362,23.86708510682066
2798,-61.156389,-38.320833,6.830808503515234,1.4090070862626942,2.320327669902913,41.70051054569803,1.274193614335248,33.631730554625605
2799,-60.761747,-38.243832,7.94719254727922,1.7617195332535402,1.4307925864217386,36.99434134747493,1.4330334931661328,24.64198162228654
2800,-60.244313,-38.027927,6.966211799313615,1.9884090537669552,2.294810835103775,27.49984474587351,1.2906941612621579,21.146968458898513
2801,-60.268303,-38.247338,5.5859054380902995,1.6030695763261047,1.6332421607953294,23.546144706964196,1.3908648885793282,20.64349617656538
2802,-58.661675,-38.143606,5.961253268365647,3.0896319360570796,3.0102782416134084,32.79378253434804,1.1753967296558077,25.66997247907055
2803,-58.968039,-38.260668,5.822659930132461,2.71664636123678,3.697844612677355,29.67019131012712,1.0876113376259697,30.55884573763258
2804,-58.597607000000004,-38.319632,7.45480456918797,2.190549183515252,1.543359833384706,31.999793623568006,1.4136592078623273,28.591307216243464
2805,-58.630134,-38.303778,6.3269144813771065,2.24757680735063,2.4544940889724733,23.724265032848084,1.265020813394296,24.981264617833183
2806,-61.215505,-38.414291,6.599917862570541,0.9928598665999692,2.490936533350826,37.36998168618424,1.24534217175793,28.27326635118811
2807,-61.13691,-38.449819,6.512902930482256,1.753742287777169,1.9625344096698116,33.86720949634772,1.3320904993424867,25.461405070089462
2808,-60.674808,-38.450559,7.3556008452137185,1.2789965090910083,1.7006191244900304,31.907032998095904,1.3746652382156825,23.00382584045171
2809,-60.471029,-38.343757,6.426599149493021,1.376854258132241,2.0705127552250353,26.713132182011226,1.3133902486153402,20.300015353904392
2810,-60.117623,-38.411625,5.591279171700423,2.509043747731258,3.651206912226756,33.91236759380412,1.095903958514928,32.475707749401174
2811,-59.948454,-38.345423,5.518254784604349,2.652757543891895,1.5647920946869618,20.30142348874145,1.4000323210936731,18.308489816673426
2812,-59.705792,-38.351409,9.004552306565856,2.371708667613274,0.5696494581423246,35.982371663483725,1.6182956649824065,29.111478625620695
2813,-59.526488,-38.479162,5.8865943656040045,1.182553890014399,1.5800390893225118,16.506226243746724,1.3971558466360903,15.568232475493886
2814,-59.521259,-38.449042,6.027978296353286,2.5846256708755857,1.0724775172172638,15.402854115956467,1.5003235942760198,13.44301713194921
2815,-59.482203,-38.430059,5.974760345915858,2.4555927234583828,1.3638681080387702,25.827573248999226,1.4457899309947846,21.852326303688493
2816,-59.351091,-38.497836,8.235984102336772,2.785098370126159,1.1956845822351196,30.522645317283505,1.4852350309094007,25.152779067640445
