Soil property;Min;1st Quartile;Median;3st Quartile;Max;n;Unit;
Total N;0;400;700;1500;84000;216362;ppm;
P Bray I;0;1.6;5;16;150;40486;ppm;
P Mehlich 3;0;1.6;6.1;22;149.4;7242;ppm;
P Olsen;0;0.7;2;4.3;141;8434;ppm;
CEC;0.1;7.5;14;23;140;295688;cmol(c)/kg;
pH water;1.5;5.2;6.2;7.5;12.3;613322;-;
Clay;0;11.1;21.9;35.3;100;590368;%;
Silt;0;15;30;47.6;100;558233;%;
Sand;0;15;36;60.2;100;482334;%;
SOC;0;2;5.1;14;99.4;471301;%;
Bulk density;0;1.3;1.4;1.7;2.6;116756;g/cm3;
