"","zone","Land_cover","sum","mean"
"1",1,"Croplands",140050127934.42,3567.4558136911
"2",2,"Forests",291574926108.555,4209.8289001879
"3",3,"Grasslands",178152956735.812,3014.01470289984
"4",4,"Wetlands",16981502164.6006,5542.85727119071
"5",5,"Others",46723262843.4139,1479.91642614416
"6",6,"Waterbodies",7010222255.57837,4021.45372123454
